Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all
10,AaronJudge,RF,NYY,11,32,7,13,3,0,4,7,3,7,0,0,0.406,0.472,0.875,1.347,177,62,570,0.311,0.425,1.111
1,PaulGoldschmidt,1B,STL,10,22,8,11,1,0,4,7,3,3,1,0,0.5,0.538,1.091,1.629,178,35,561,0.317,0.404,0.982
81,AustinRiley,3B,ATL,12,28,8,6,1,0,2,4,5,9,0,0,0.214,0.353,0.464,0.817,168,38,615,0.273,0.349,0.877
15,ShoheiOhtani,DH,LAA,13,25,6,7,0,1,3,7,9,7,0,0,0.28,0.471,0.72,1.191,160,34,586,0.273,0.356,0.875
78,PeteAlonso,1B,NYM,11,30,7,7,4,0,1,4,6,7,0,0,0.233,0.361,0.467,0.828,162,40,597,0.271,0.352,0.87
12,JulioRodriguez,CF,SEA,14,34,10,14,4,0,3,8,5,9,3,1,0.412,0.487,0.794,1.281,145,28,511,0.284,0.345,0.854
25,JuanSoto,RF,WSH,11,26,5,8,2,0,2,5,8,4,0,1,0.308,0.471,0.615,1.086,127,27,524,0.242,0.401,0.853
96,JeffMcNeil,2B,NYM,11,32,6,9,2,1,0,2,3,1,1,0,0.281,0.333,0.406,0.739,174,9,533,0.326,0.382,0.836
55,TaylorWard,RF,LAA,15,38,7,11,2,0,3,11,3,7,0,0,0.289,0.341,0.579,0.92,139,23,495,0.281,0.36,0.833
61,KyleSchwarber,LF,PHI,11,29,4,6,0,0,3,4,7,11,0,0,0.207,0.378,0.517,0.895,126,46,577,0.218,0.323,0.827
40,JoseAbreu,1B,CWS,12,29,4,9,4,0,1,2,8,4,0,0,0.31,0.459,0.552,1.011,183,15,601,0.304,0.378,0.824
42,J.T.Realmuto,C,PHI,13,37,4,14,4,0,1,5,3,8,0,0,0.378,0.439,0.568,1.007,139,22,504,0.276,0.342,0.82
64,VladimirGuerrero,1B,TOR,12,33,5,10,2,0,2,4,2,6,1,0,0.303,0.343,0.545,0.888,175,32,638,0.274,0.339,0.819
67,AnthonyRizzo,1B,NYY,11,29,4,9,1,0,1,3,4,5,2,0,0.31,0.429,0.448,0.877,104,32,465,0.224,0.338,0.818
83,TreaTurner,SS,LAD,13,33,3,11,3,0,0,5,3,5,0,0,0.333,0.389,0.424,0.813,194,21,652,0.298,0.343,0.809
