Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all,Rank_all
8,CalRaleigh,DH,SEA,20,59,5,11,2,0,5,10,3,18,0,1,0.186,0.226,0.475,0.701,147,60,596,0.247,0.359,0.948,1
116,KyleSchwarber,DH,PHI,17,49,3,9,3,0,2,7,6,19,0,0,0.184,0.298,0.367,0.665,145,56,604,0.24,0.365,0.928,2
264,ShoheiOhtani,DH,LAD,10,23,4,7,3,0,1,2,4,7,0,0,0.304,0.407,0.565,0.972,172,55,611,0.282,0.392,1.014,3
264,AaronJudge,RF,NYY,14,33,5,4,1,0,1,5,7,18,0,0,0.121,0.268,0.242,0.51,179,53,541,0.331,0.457,1.145,4
16,JuniorCaminero,3B,TB,15,47,7,7,0,1,4,10,3,9,0,0,0.149,0.2,0.447,0.647,159,45,602,0.264,0.311,0.846,6
16,JuanSoto,RF,NYM,16,38,10,11,2,0,4,9,7,6,0,0,0.289,0.391,0.658,1.049,152,43,577,0.263,0.396,0.921,7
116,PeteAlonso,1B,NYM,21,55,8,14,5,0,2,10,8,12,0,0,0.255,0.344,0.455,0.799,170,38,624,0.272,0.347,0.871,8
16,JoAdell,CF,LAA,23,64,6,11,1,0,4,13,1,17,1,1,0.172,0.194,0.375,0.569,124,37,526,0.236,0.293,0.778,9
48,RileyGreene,LF,DET,18,48,7,14,3,0,3,8,6,19,0,0,0.292,0.364,0.542,0.906,155,36,600,0.258,0.313,0.806,10
116,NickKurtz,X,ATH,14,23,4,6,0,0,2,5,7,5,0,0,0.261,0.452,0.522,0.974,122,36,420,0.29,0.383,1.002,10
116,TaylorWard,LF,LAA,18,48,5,14,3,0,2,6,6,18,1,0,0.292,0.37,0.479,0.849,132,36,579,0.228,0.317,0.792,10
48,ByronBuxton,CF,MIN,16,41,7,13,2,0,3,6,7,16,2,0,0.317,0.42,0.585,1.005,129,35,488,0.264,0.327,0.878,13
586,RafaelDevers,DH,BOS,5,14,0,3,1,0,0,2,1,5,0,0,0.214,0.267,0.286,0.553,153,35,607,0.252,0.372,0.851,13
16,TrentGrisham,CF,NYY,13,28,5,6,0,0,4,6,9,11,1,0,0.214,0.395,0.643,1.038,116,34,494,0.235,0.348,0.812,15
264,MichaelBusch,1B,CHC,14,36,8,15,3,1,1,12,3,6,1,0,0.417,0.475,0.639,1.114,137,34,524,0.261,0.343,0.866,15
48,SeiyaSuzuki,RF,CHC,14,36,6,9,1,0,3,9,4,11,1,0,0.25,0.333,0.528,0.861,140,32,571,0.245,0.326,0.804,17
116,VinniePasquantino,1B,KC,17,48,6,10,4,0,2,9,1,6,0,0,0.208,0.216,0.417,0.633,164,32,621,0.264,0.323,0.798,17
264,GeorgeSpringer,RF,TOR,15,37,5,4,1,0,1,5,8,9,0,0,0.108,0.298,0.216,0.514,154,32,498,0.309,0.399,0.959,17
8,SpencerTorkelson,DH,DET,19,50,6,17,2,0,5,11,4,11,1,0,0.34,0.389,0.68,1.069,135,31,563,0.24,0.333,0.789,21
16,CorbinCarroll,RF,AZ,16,45,12,18,1,1,4,10,4,10,2,0,0.4,0.449,0.733,1.182,146,31,564,0.259,0.343,0.884,21
16,BrandonLowe,2B,TB,17,43,10,12,0,0,4,9,7,13,0,0,0.279,0.373,0.558,0.931,130,31,507,0.256,0.307,0.784,21
16,JamesWood,LF,WSH,16,46,9,13,4,0,4,11,7,17,0,0,0.283,0.377,0.63,1.007,153,31,598,0.256,0.35,0.825,21
48,JazzChisholm,2B,NYY,19,48,9,10,2,0,3,12,6,17,3,0,0.208,0.309,0.438,0.747,112,31,462,0.242,0.332,0.813,21
48,PeteCrow-Armstrong,CF,CHC,13,34,9,17,4,0,3,11,0,8,2,0,0.5,0.486,0.882,1.368,146,31,591,0.247,0.287,0.768,21
