Rank,Feet,Player,% Made,Attempts,Putts_made
1,27.5,Wyndham Clark,10.70%,243,26
2,27.5,Matthieu Pavon,10.12%,257,26
3,27.5,Viktor Hovland,9.01%,222,20
4,27.5,Webb Simpson,8.61%,209,18
5,27.5,Zach Johnson,8.59%,198,17
6,27.5,Max Greyserman,8.58%,303,26
7,27.5,Rico Hoey,8.46%,319,27
8,27.5,Michael Kim,8.45%,296,25
9,27.5,Sam Stevens,8.29%,362,30
10,27.5,Mac Meissner,8.16%,294,24
11,27.5,Patrick Cantlay,8.15%,233,19
12,27.5,Ryan Fox,8.01%,312,25
13,27.5,Harris English,7.92%,379,30
14,27.5,Jordan Spieth,7.89%,279,22
15,27.5,Troy Merritt,7.76%,232,18
16,27.5,Justin Lower,7.60%,408,31
17,27.5,Jason Day,7.57%,251,19
18,27.5,Denny McCarthy,7.56%,357,27
19,27.5,Ludvig Åberg,7.53%,292,22
20,27.5,Matt Fitzpatrick,7.53%,292,22
21,27.5,Shane Lowry,7.42%,283,21
22,27.5,Tom Hoge,0.0729,329,24
23,27.5,Ben Kohles,0.0728,371,27
24,27.5,Kevin Tway,0.0723,235,17
25,27.5,Sahith Theegala,0.0716,391,28
26,27.5,Joel Dahmen,0.0712,295,21
26,27.5,Will Zalatoris,0.0712,281,20
28,27.5,Ryo Hisatsune,0.0708,325,23
29,27.5,Trace Crowe,0.0704,199,14
30,27.5,David Skinns,0.0703,313,22
31,27.5,Rory McIlroy,0.0699,286,20
32,27.5,Carson Young,0.0687,335,23
33,27.5,Sungjae Im,0.0677,325,22
34,27.5,Taylor Moore,0.0675,415,28
35,27.5,"Blaine Hale, Jr.",0.0674,178,12
36,27.5,Thorbjørn Olesen,0.067,179,12
37,27.5,Andrew Novak,0.0669,314,21
38,27.5,Erik van Rooyen,0.0667,315,21
39,27.5,Adam Scott,0.0653,291,19
40,27.5,Martin Laird,0.0651,292,19
41,27.5,J.J. Spaun,0.0647,340,22
42,27.5,Nick Dunlap,0.0646,263,17
43,27.5,Keegan Bradley,0.064,297,19
44,27.5,Sam Ryder,0.0639,266,17
45,27.5,Christiaan Bezuidenhout,0.0638,282,18
45,27.5,Seamus Power,0.0638,376,24
47,27.5,Nico Echavarria,0.0635,315,20
48,27.5,Kevin Kisner,0.0633,237,15
49,27.5,Roger Sloan,0.0628,223,14
50,27.5,Nick Taylor,0.0625,320,20
51,27.5,Matti Schmid,0.0623,305,19
52,27.5,Robert MacIntyre,0.0619,307,19
52,27.5,Taylor Pendrith,0.0619,323,20
54,27.5,Chan Kim,0.0608,329,20
55,27.5,Brandt Snedeker,0.0607,247,15
56,27.5,Brian Harman,0.0606,330,20
57,27.5,Sami Valimaki,0.0605,248,15
58,27.5,Patrick Fishburn,0.0601,316,19
59,27.5,Hideki Matsuyama,0.0599,267,16
59,27.5,Austin Smotherman,0.0599,167,10
59,27.5,Josh Teater,0.0599,167,10
62,27.5,Thomas Detry,0.0596,285,17
63,27.5,Corey Conners,0.0595,370,22
64,27.5,Tyson Alexander,0.0592,321,19
65,27.5,Pierceson Coody,0.0588,289,17
65,27.5,Ben Griffin,0.0588,408,24
65,27.5,Scottie Scheffler,0.0588,238,14
68,27.5,Si Woo Kim,0.0586,307,18
68,27.5,Nate Lashley,0.0586,290,17
70,27.5,Joseph Bramlett,0.0585,359,21
71,27.5,Wesley Bryan,0.0584,154,9
71,27.5,Vince Whaley,0.0584,257,15
73,27.5,David Lipsky,0.058,276,16
74,27.5,Beau Hossler,0.0579,363,21
75,27.5,Greyson Sigg,0.0576,295,17
76,27.5,Kevin Streelman,0.0575,261,15
77,27.5,Matt Wallace,0.0572,297,17
78,27.5,Mackenzie Hughes,0.0568,405,23
79,27.5,Adam Hadwin,0.0567,300,17
80,27.5,Adrien Dumont de Chassart,0.0565,283,16
80,27.5,Ryan McCormick,0.0565,248,14
80,27.5,Justin Rose,0.0565,230,13
83,27.5,Daniel Berger,0.0563,284,16
83,27.5,Austin Eckroat,0.0563,320,18
85,27.5,Robby Shelton,0.0561,303,17
86,27.5,Tommy Fleetwood,0.0559,304,17
86,27.5,K.H. Lee,0.0559,286,16
88,27.5,Akshay Bhatia,0.0557,341,19
88,27.5,Xander Schauffele,0.0557,305,17
90,27.5,Jacob Bridgeman,0.0554,271,15
90,27.5,Stephan Jaeger,0.0554,307,17
92,27.5,Taylor Montgomery,0.055,200,11
93,27.5,Lee Hodges,0.0548,383,21
94,27.5,Matt Kuchar,0.0545,312,17
95,27.5,Cameron Young,0.0544,294,16
96,27.5,Adam Schenk,0.0543,368,20
97,27.5,Billy Horschel,0.054,315,17
98,27.5,Erik Barnes,0.0539,204,11
98,27.5,Russell Henley,0.0539,241,13
98,27.5,Charley Hoffman,0.0539,241,13
101,27.5,J.T. Poston,0.0538,353,19
101,27.5,Gary Woodland,0.0538,353,19
103,27.5,Zac Blair,0.0533,319,17
104,27.5,Doug Ghim,0.0525,362,19
105,27.5,Alex Smalley,0.0524,267,14
106,27.5,Jorge Campillo,0.0521,211,11
106,27.5,Chandler Phillips,0.0521,288,15
106,27.5,Alejandro Tosti,0.0521,288,15
109,27.5,Patrick Rodgers,0.0519,405,21
110,27.5,Ben Silverman,0.0518,328,17
111,27.5,Harry Hall,0.0515,272,14
111,27.5,Dylan Wu,0.0515,330,17
113,27.5,Kevin Dougherty,0.0514,253,13
114,27.5,Callum Tarren,0.051,294,15
115,27.5,Raul Pereda,0.0506,158,8
116,27.5,Andrew Putnam,0.0503,378,19
117,27.5,Luke List,0.0502,319,16
118,27.5,C.T. Pan,0.05,260,13
119,27.5,Lucas Glover,0.0497,302,15
119,27.5,Ryan Palmer,0.0497,161,8
121,27.5,Brendon Todd,0.0496,383,19
122,27.5,Brandon Wu,0.0493,304,15
123,27.5,Alex Noren,0.0492,305,15
124,27.5,Max Homa,0.0491,285,14
125,27.5,Chesson Hadley,0.0487,308,15
126,27.5,Nicolai Højgaard,0.0485,206,10
127,27.5,Paul Barjon,0.0482,228,11
127,27.5,Collin Morikawa,0.0482,249,12
129,27.5,Kevin Chappell,0.0479,188,9
130,27.5,Tony Finau,0.0469,320,15
130,27.5,Min Woo Lee,0.0469,277,13
132,27.5,Emiliano Grillo,0.0468,342,16
133,27.5,Sam Burns,0.0465,258,12
134,27.5,Cameron Champ,0.0462,260,12
135,27.5,Maverick McNealy,0.046,348,16
136,27.5,Carl Yuan,0.0455,220,10
137,27.5,Justin Suh,0.0453,309,14
137,27.5,Davis Thompson,0.0453,353,16
139,27.5,Victor Perez,0.045,289,13
140,27.5,Jhonattan Vegas,0.0448,268,12
141,27.5,Mark Hubbard,0.0445,427,19
141,27.5,Tom Kim,0.0445,292,13
143,27.5,Justin Thomas,0.0442,226,10
144,27.5,Rickie Fowler,0.0441,295,13
145,27.5,Peter Malnati,0.0439,319,14
146,27.5,Garrick Higgo,0.0438,297,13
146,27.5,Joe Highsmith,0.0438,251,11
148,27.5,Eric Cole,0.0434,369,16
149,27.5,Jake Knapp,0.0433,300,13
150,27.5,Hayden Buckley,0.0432,278,12
150,27.5,Kevin Yu,0.0432,324,14
152,27.5,Davis Riley,0.0429,326,14
153,27.5,Hayden Springer,0.0428,257,11
154,27.5,Aaron Rai,0.0424,377,16
155,27.5,Ryan Moore,0.0417,264,11
156,27.5,Chad Ramey,0.0415,337,14
157,27.5,Martin Trainer,0.041,195,8
158,27.5,Chez Reavie,0.0403,248,10
159,27.5,Tom Whitney,0.0402,224,9
160,27.5,Nick Hardy,0.0396,379,15
160,27.5,S.H. Kim,0.0396,429,17
162,27.5,Aaron Baddeley,0.0392,255,10
163,27.5,Keith Mitchell,0.039,333,13
164,27.5,Matt NeSmith,0.0382,314,12
165,27.5,Kurt Kitayama,0.0375,293,11
