Rank,Feet,Player,%Made,Attempts,Putts_made,LastSeason
1,27.5,Matthieu Pavon,12.70%,126,16,1
2,27.5,Dan Brown,10.98%,82,9,1
3,27.5,David Lipsky,9.89%,91,9,5
4,27.5,Wyndham Clark,9.80%,102,10,3
5,27.5,Scottie Scheffler,9.57%,115,11,1
6,27.5,Viktor Hovland,9.48%,116,11,2
7,27.5,Patrick Fishburn,8.82%,68,6,3
8,27.5,Austin Smotherman,8.66%,127,11,3
9,27.5,Jacob Bridgeman,8.59%,163,14,-
10,27.5,Neal Shipley,8.43%,83,7,2
11,27.5,Patton Kizzire,8.42%,95,8,2
11,27.5,Dylan Wu,8.42%,95,8,2
13,27.5,Akshay Bhatia,8.20%,122,10,2
14,27.5,Sami Valimaki,8.18%,110,9,4
15,27.5,Isaiah Salinda,8.06%,62,5,4
16,27.5,Chandler Phillips,8.04%,112,9,4
17,27.5,Jordan Spieth,8.02%,162,13,1
18,27.5,Kris Ventura,8.00%,50,4,3
19,27.5,Christiaan Bezuidenhout,7.92%,101,8,4
20,27.5,Brooks Koepka,7.87%,89,7,4
21,27.5,Brandt Snedeker,7.84%,51,4,4
22,27.5,John Parry,7.80%,141,11,4
23,27.5,Maverick McNealy,7.78%,167,13,11
24,27.5,Si Woo Kim,7.75%,142,11,2
25,27.5,Garrick Higgo,7.69%,104,8,2
25,27.5,Kevin Streelman,7.69%,52,4,2
27,27.5,Russell Henley,7.62%,105,8,16
28,27.5,Sam Ryder,7.59%,79,6,3
29,27.5,A.J. Ewart,7.52%,133,10,3
30,27.5,Matti Schmid,7.41%,162,12,5
31,27.5,Jason Day,7.38%,122,9,14
32,27.5,Karl Vilips,7.37%,95,7,4
33,27.5,Harry Hall,7.30%,137,10,4
34,27.5,Chad Ramey,7.27%,165,12,3
35,27.5,Matt Wallace,7.22%,97,7,23
36,27.5,Cam Davis,7.14%,70,5,3
36,27.5,Michael Kim,7.14%,154,11,37
38,27.5,David Ford,7.08%,113,8,3
39,27.5,Justin Rose,7.07%,99,7,6
40,27.5,Davis Chatfield,6.94%,72,5,3
41,27.5,Aldrich Potgieter,6.90%,116,8,3
42,27.5,Alex Noren,6.87%,131,9,12
43,27.5,Jake Knapp,6.84%,117,8,2
43,27.5,Danny Walker,6.84%,117,8,2
45,27.5,Keegan Bradley,6.78%,118,8,21
45,27.5,Adam Svensson,6.78%,59,4,3
45,27.5,Cameron Young,6.78%,118,8,23
48,27.5,Joe Highsmith,6.76%,148,10,1
49,27.5,Sungjae Im,6.74%,89,6,11
50,27.5,Kevin Roy,6.72%,134,9,-
51,27.5,Austin Eckroat,6.67%,75,5,-
51,27.5,Steven Fisk,6.67%,120,8,-
53,27.5,Tony Finau,6.62%,136,9,3
54,27.5,Vince Whaley,6.60%,106,7,3
55,27.5,Sahith Theegala,6.51%,169,11,15
56,27.5,Patrick Cantlay,6.48%,108,7,4
57,27.5,Patrick Rodgers,6.45%,217,14,2
58,27.5,Beau Hossler,6.41%,78,5,4
59,27.5,Davis Riley,6.25%,80,5,5
