"","Name","Code","rating","rating2","DSP","DInd","EPS","PER","BPS","PBR","ROE","ROA","CFO","CFPS","PCFR","EBIT","EBITDA","EV","EVperEBIT","ICR","FOCF","SP01","SP02","SP03","SP04","SP06","SP07","SP08","SP09","SP10"
"1","ホクト","1379","A","-","NonSP","General",0.00018771523401153,102389.132673267,0.00162294838220764,11842.6440487625,11.5663095677872,6.24719414986482,10471,0.00031388792962867,61232.0455352879,7680,14886,64116074880,8348447.25,78.275,6476,0.22715636931621,3.09660083299745,0.22715636931621,0.140489413398126,131.8875,186.075,0.350668919227433,0.679694991096297,0.146725891961599
"2","ミライト・ワン","1417","A","","NonSP","General",0.000334566258275569,64292.1976378235,0.0021354470107356,10072.832475759,16.0087283392744,10.1022714919262,41602,0.000384046837282165,56008.7934904572,45356,51771,2.33008e+11,5137313.69609313,755.041666666667,33219,0.326474558181875,2.46137799153967,0.326474558181875,0.260688388737169,867.708333333333,1078.5625,0.746109557493009,0.851636782365521,0.201567440609911
"3","日鉄鉱業","1515","A","-","NonSP","General",0.000790558885502338,75895.6746933212,0.0139375663214013,4304.91225056051,5.94463200540176,3.4985561766498,9414,0.00112711212299243,53233.39069471,9678,15892,50113914000,5178127.09237446,24.2757352941176,2639,0.130166060589301,4.55090611628492,0.130166060589301,0.0364890836939839,35.6102941176471,58.4264705882353,0.357728986471501,0.587417757078436,0.0873390819379205
"4","高松コンストラクショングループ","1762","A","-","NonSP","General",0.000309362139917695,65230.9943465248,0.0029772633744856,6778.03655965997,10.3944139099174,5.44669905946176,4116,0.000105864197530864,190621.574344023,18184,19450,78459840000,4314773.42718874,59.8407960199005,666,0.0391720199857245,5.40231362467866,0.0391720199857245,0.00633832976445396,21.4776119402985,96.7661691542289,0.474716094504634,0.50776661010312,0.160995152615153
"5","大成建設","1801","AA","-","NonSP","General",0.000603078708433926,60937.3196003426,0.00376064662208141,9772.25559674096,16.1047517675671,7.239089457945,67494,0.000300586299602997,122261.061294337,189036,199818,8.25189e+11,4365247.88929093,139.60412371134,67494,0.0657707408197809,5.13567846740534,0.0657707408197809,0.0657707408197809,70.5814432989691,205.99793814433,0.863974990630627,0.913253320414263,0.236541150634879
"6","大林組","1802","AA","-","NonSP","General",0.000186515870918793,47770.7336973984,0.00133328640210584,6682.73522172521,14.4545326629496,5.92147064983799,24803,3.43765327844279e-05,259188.442763375,184192,205418,6.42865e+11,3490189.5847811,72.1184351554126,24803,0.0189242267946848,6.38039509682696,0.0189242267946848,0.0189242267946848,14.2920685959271,110.084673097535,0.815788541260674,0.909798745703859,0.203248923986346
"7","清水建設","1803","AA","-","NonSP","General",0.000140571903389697,57123.7907886831,0.00104176382587852,7708.08104536391,13.595547100476,5.80733011504322,80674,0.000102311356910769,78485.9104840469,158842,175552,6.33177e+11,3986206.4189572,36.5456643587207,-42218,0.0742016156699567,6.19319062158221,0.0742016156699567,-0.038830897319511,27.5987471150676,57.8806462248599,0.834179721348409,0.921934491143123,0.203923592522553
"8","長谷工コーポレーション","1808","A","+","NonSP","General",0.000235596143767266,62649.5823063246,0.00131107827783109,11257.9090429425,17.9698752408966,7.43095802587717,31876,0.000105972718634117,139281.129994981,82841,88263,4.43973e+11,5359338.9746623,52.3769401330377,31876,0.0569932808147414,6.33667561718954,0.0569932808147414,0.0569932808147414,24.5594974131559,65.2350332594235,0.608092137619191,0.647892183130125,0.21185683213413
"9","西松建設","1820","A","","NonSP","General",0.0004316846844685,82235.949704142,0.00373325045256018,9509.13967629868,11.6504760101562,5.07958682584032,4907,8.82688868525265e-05,402180.216221724,31219,34849,1.9735e+11,6321470.89913194,54.1715575620767,4907,0.0185237615278045,7.60145197853597,0.0185237615278045,0.0185237615278045,12.0767494356659,78.665914221219,0.785166369055104,0.876461859611177,0.153476687707707
"10","三井住友建設","1821","A","-","NonSP","General",8.29884084065635e-05,58080.4005348148,0.000678095211445274,7108.14634677449,13.1828213190633,3.5825553438457,16723,0.000102801122502442,46886.6475644322,20395,23096,78408540722,3844498.19671488,12.4768946395564,14020,0.0627462310237958,11.5395739521995,0.0627462310237958,0.0526043269122536,16.4556377079482,21.3456561922366,0.523821754205728,0.593193784512649,0.19172647837143
"11","大豊建設","1822","BBB","+","J2","General",0.000516080718214232,82254.5747240618,0.00402155614855682,10555.6153966006,13.000874651506,5.56644567844165,4357,0.000236367464444382,179593.245203121,11972,13010,78248776935,6535982.03600067,141.985074626866,-2913,0.0450247496615652,7.4380476556495,0.0450247496615652,-0.0301026155070322,66.0298507462687,194.179104477612,0.793005232827714,0.861760614691661,0.172112882588881
"12","矢作建設工業","1870","BBB","+","NonSP","General",0.000126212081536053,55699.8974618117,0.00122488488864093,5739.31482475887,10.303995314702,4.336206166193,6757,0.000151476915619736,46409.7118114548,7993,10636,31359042271,3923313.18291005,50.7207207207207,6757,0.0898573081372927,7.07004512974803,0.0898573081372927,0.0898573081372927,61.8738738738739,95.8198198198198,0.509140709599338,0.677495381871457,0.149842995735108
"13","新日本建設","1879","A","-","NonSP","General",0.000226969305444917,37758.4095928771,0.00133474639802141,6420.69535658905,17.0046763775778,11.004962387003,7005,0.00011416098116189,75069.4318915061,17648,17938,52586137040,2979722.18041704,2785.4,6977,0.156883384470673,2.48918497045379,0.156883384470673,0.15625629885109,1402,3587.6,0.964529704323113,0.980379297152539,0.227459320122442
"14","五洋建設","1893","A","","J1","General",0.000105466898445604,70069.3782496271,0.000553829707093617,13343.4517963675,19.0571556729232,6.67001291326883,30690,0.000107302473505572,68870.732971652,40649,48043,2.11364e+11,5199734.31080715,45.2248875562219,19649,0.104443173929024,6.1162708407052,0.104443173929024,0.066868814745239,47.0119940029985,72.0284857571214,0.81236260442064,0.960130300971262,0.271262787702451
"15","大和ハウス工業","1925","AA","","NonSP","General",0.00046711521144303,71609.7424801581,0.00284208258516186,11769.5383570618,16.9578524812323,6.15885211551355,430314,0.000645886106156281,51789.3165392016,432388,531856,2.22857e+12,5154097.70853955,31.0805952262059,430314,0.136194797483691,5.940607984116,0.136194797483691,0.136194797483691,43.9755318086488,53.1165484869669,0.522913157000446,0.643205870721735,0.235833506959027
"16","積水ハウス","1928","AA","","J1","General",0.000270919350636108,79765.4355410957,0.00199929904543657,10808.7882347192,13.9833265110585,7.06412106352926,191972,0.000280380656950171,77073.7904499615,246762,268844,1.4796e+12,5996060.98183675,66.9895269050199,104482,0.152725513813333,4.67547722842987,0.152725513813333,0.0831218465934856,70.3289996388588,97.0906464427591,0.521132560806402,0.567767169083717,0.184444136325805
