feet	Rank	RankPrev	Player	Roundsp	percentMade	Attempts	Putts_made
22.5	1	1	Camilo Villegas	58	24.56	57	14
22.5	2	2	Bronson Burgoon	37	23.68	38	9
22.5	3	3	Louis Oosthuizen	33	23.26	43	10
22.5	T4	T4	Jim Knous	35	22.73	22	5
22.5	T4	T4	Vaughn Taylor	39	22.73	22	5
22.5	6	6	Callum Tarren	45	22.50	40	9
22.5	7	8	Scottie Scheffler	67	21.43	70	15
22.5	T8	9	Dustin Johnson	37	21.21	33	7
22.5	T8	11	Matthew Wolff	46	21.21	33	7
22.5	10	10	Graeme McDowell	44	20.93	43	9
22.5	T11	T25	Joaquin Niemann	58	20.00	55	11
22.5	T11	T13	Cameron Young	61	20.00	75	15
22.5	13	15	Michael Thompson	64	19.74	76	15
22.5	14	12	Adam Scott	48	19.70	66	13
22.5	15	T16	Brian Gay	39	19.44	36	7
22.5	16	T13	Robert Streb	59	19.40	67	13
22.5	17	18	Keegan Bradley	65	19.18	73	14
22.5	T18	T16	Patrick Cantlay	43	19.05	42	8
22.5	T18	7	Rory McIlroy	34	19.05	42	8
22.5	20	21	Luke List	65	18.75	64	12
22.5	21	20	Maverick McNealy	69	18.67	75	14
22.5	22	22	Rory Sabbatini	39	18.60	43	8
22.5	23	24	Dylan Wu	53	18.18	44	8
22.5	24	19	Kurt Kitayama	54	17.86	56	10
22.5	25	23	Beau Hossler	56	17.81	73	13
22.5	26	48	Lanto Griffin	72	17.44	86	15
22.5	T27	T81	Shane Lowry	43	17.39	46	8
22.5	T27	T25	Matthias Schwab	54	17.39	46	8
22.5	29	27	Ben Kohles	47	17.14	35	6
22.5	30	35	Mito Pereira	74	17.05	88	15
22.5	31	29	Francesco Molinari	45	16.98	53	9
22.5	32	30	Tony Finau	55	16.90	71	12
22.5	33	T31	Troy Merritt	69	16.87	83	14
22.5	T34	T31	Harry Higgs	64	16.67	72	12
22.5	T34	T31	Kevin Tway	59	16.67	60	10
22.5	36	36	Paul Barjon	51	16.42	67	11
22.5	37	37	Harold Varner III	54	16.36	55	9
22.5	38	38	Ian Poulter	45	16.33	49	8
22.5	39	39	Ryan Armour	40	16.28	43	7
22.5	T40	T40	Hayden Buckley	61	16.22	74	12
22.5	T40	T40	Greyson Sigg	68	16.22	74	12
22.5	42	T31	Matt Jones	61	16.13	62	10
22.5	43	28	Emiliano Grillo	62	16.05	81	13
22.5	T44	T42	Trey Mullinax	56	16.00	50	8
22.5	T44	T42	Sebastián Muñoz	62	16.00	75	12
22.5	46	T45	Lee Hodges	65	15.91	88	14
22.5	47	47	Sung Kang	66	15.87	63	10
22.5	48	49	Chad Ramey	65	15.79	57	9
22.5	T49	T91	Brandt Snedeker	53	15.38	52	8
22.5	T49	50	Scott Stallings	70	15.38	78	12
22.5	51	T52	Viktor Hovland	57	15.28	72	11
22.5	T52	T56	Webb Simpson	45	15.09	53	8
22.5	T52	T56	Jared Wolfe	45	15.09	53	8
22.5	54	T52	Adam Long	71	15.05	93	14
22.5	55	T58	Richy Werenski	50	14.89	47	7
22.5	T56	T42	Brandon Hagy	61	14.81	54	8
22.5	T56	60	Brendon Todd	65	14.81	54	8
22.5	58	T45	Brandon Wu	56	14.58	48	7
22.5	59	65	Max McGreevy	54	14.55	55	8
22.5	60	80	Luke Donald	51	14.52	62	9
22.5	T61	T66	Jason Kokrak	55	14.49	69	10
22.5	T61	T66	Roger Sloan	54	14.49	69	10
22.5	63	T69	Hudson Swafford	64	14.47	76	11
22.5	T64	T69	Talor Gooch	72	14.29	63	9
22.5	T64	T69	Tyrrell Hatton	46	14.29	35	5
22.5	T64	T69	Brooks Koepka	45	14.29	56	8
22.5	T64	T54	Patrick Rodgers	65	14.29	70	10
22.5	T64	T58	Xander Schauffele	51	14.29	49	7
22.5	T64	63	Alex Smalley	69	14.29	84	12
22.5	70	51	Cameron Tringale	73	14.10	78	11
22.5	T71	T77	Charles Howell III	46	14.08	71	10
22.5	T71	T54	Erik van Rooyen	47	14.08	71	10
22.5	73	86	Taylor Moore	60	13.95	86	12
22.5	74	76	Seung-Yul Noh	47	13.89	36	5
22.5	75	T61	Ryan Palmer	55	13.85	65	9
22.5	76	68	Si Woo Kim	76	13.79	87	12
22.5	77	89	David Lipsky	70	13.75	80	11
22.5	78	64	Denny McCarthy	80	13.59	103	14
22.5	T79	T81	Kevin Na	42	13.51	37	5
22.5	T79	T77	Pat Perez	62	13.51	74	10
22.5	81	T69	Justin Lower	52	13.46	52	7
22.5	T82	T116	Jason Dufner	38	13.33	30	4
22.5	T82	84	Peter Malnati	79	13.33	90	12
22.5	T84	T87	Hideki Matsuyama	53	13.24	68	9
22.5	T84	85	Nick Watney	60	13.24	68	9
22.5	86	74	Sungjae Im	67	13.19	91	12
22.5	87	104	Abraham Ancer	59	13.16	76	10
22.5	88	T61	Martin Laird	48	13.04	69	9
22.5	89	T81	Sahith Theegala	81	12.99	77	10
22.5	90	75	Max Homa	63	12.86	70	9
22.5	91	T91	Matt Wallace	38	12.77	47	6
22.5	92	107	Jordan Spieth	53	12.70	63	8
22.5	T93	T95	Russell Henley	61	12.50	56	7
22.5	T93	T116	Billy Horschel	56	12.50	48	6
22.5	T93	T95	Stephan Jaeger	65	12.50	72	9
22.5	T93	T77	Keith Mitchell	65	12.50	72	9
22.5	T93	T95	David Skinns	48	12.50	40	5
22.5	T93	T95	Martin Trainer	62	12.50	56	7
22.5	99	T95	Kramer Hickok	67	12.35	81	10
22.5	T100	T102	Kevin Chappell	43	12.24	49	6
