feet	Rank	RankPrev	Player	percentMade	Attempts	Putts_made
27.5	1	1	Matthieu Pavon	12.7	126	16
27.5	2	1	Dan Brown	10.98	82	9
27.5	3	5	David Lipsky	9.89	91	9
27.5	4	3	Wyndham Clark	9.8	102	10
27.5	5	1	Scottie Scheffler	9.57	115	11
27.5	6	2	Viktor Hovland	9.48	116	11
27.5	7	3	Patrick Fishburn	8.82	68	6
27.5	8	3	Austin Smotherman	8.66	127	11
27.5	9	-	Jacob Bridgeman	8.59	163	14
27.5	10	2	Neal Shipley	8.43	83	7
27.5	11	2	Patton Kizzire	8.42	95	8
27.5	11	2	Dylan Wu	8.42	95	8
27.5	13	2	Akshay Bhatia	8.2	122	10
27.5	14	4	Sami Valimaki	8.18	110	9
27.5	15	4	Isaiah Salinda	8.06	62	5
27.5	16	4	Chandler Phillips	8.04	112	9
27.5	17	1	Jordan Spieth	8.02	162	13
27.5	18	3	Kris Ventura	8	50	4
27.5	19	4	Christiaan Bezuidenhout	7.92	101	8
27.5	20	4	Brooks Koepka	7.87	89	7
27.5	21	4	Brandt Snedeker	7.84	51	4
27.5	22	4	John Parry	7.8	141	11
27.5	23	11	Maverick McNealy	7.78	167	13
27.5	24	2	Si Woo Kim	7.75	142	11
27.5	25	2	Garrick Higgo	7.69	104	8
27.5	25	2	Kevin Streelman	7.69	52	4
27.5	27	16	Russell Henley	7.62	105	8
27.5	28	3	Sam Ryder	7.59	79	6
27.5	29	3	A.J. Ewart	7.52	133	10
27.5	30	5	Matti Schmid	7.41	162	12
27.5	31	14	Jason Day	7.38	122	9
27.5	32	4	Karl Vilips	7.37	95	7
27.5	33	4	Harry Hall	7.3	137	10
27.5	34	3	Chad Ramey	7.27	165	12
27.5	35	23	Matt Wallace	7.22	97	7
27.5	36	3	Cam Davis	7.14	70	5
27.5	36	37	Michael Kim	7.14	154	11
27.5	38	3	David Ford	7.08	113	8
27.5	39	6	Justin Rose	7.07	99	7
27.5	40	3	Davis Chatfield	6.94	72	5
27.5	41	3	Aldrich Potgieter	6.9	116	8
27.5	42	12	Alex Noren	6.87	131	9
27.5	43	2	Jake Knapp	6.84	117	8
27.5	43	2	Danny Walker	6.84	117	8
27.5	45	21	Keegan Bradley	6.78	118	8
27.5	45	3	Adam Svensson	6.78	59	4
27.5	45	23	Cameron Young	6.78	118	8
27.5	48	1	Joe Highsmith	6.76	148	10
27.5	49	11	Sungjae Im	6.74	89	6
27.5	50	-	Kevin Roy	6.72	134	9
27.5	51	-	Austin Eckroat	6.67	75	5
27.5	51	-	Steven Fisk	6.67	120	8
27.5	53	3	Tony Finau	6.62	136	9
27.5	54	3	Vince Whaley	6.6	106	7
27.5	55	15	Sahith Theegala	6.51	169	11
27.5	56	4	Patrick Cantlay	6.48	108	7
27.5	57	2	Patrick Rodgers	6.45	217	14
27.5	58	4	Beau Hossler	6.41	78	5
27.5	59	5	Davis Riley	6.25	80	5
27.5	60	18	Rickie Fowler	6.21	145	9
